City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,tiksi,71.6872,128.8694,41.72,87,99,17.98,RU,1628223516
170,ouesso,1.6136,16.0517,70.45,92,39,1.63,CG,1628223518
171,buchanan,5.8808,-10.0467,76.21,78,99,8.03,LR,1628223521
172,neuquen,-38.9516,-68.0591,46.29,66,0,5.75,AR,1628223524
173,cervo,43.6702,-7.4101,62.96,78,60,9.62,ES,1628223525
174,mezen,65.8522,44.24,51.8,81,99,3.42,RU,1628223527
175,mahebourg,-20.4081,57.7,68.25,88,40,3.44,MU,1628223528
176,senden,48.3244,10.0444,58.91,94,97,2.3,DE,1628223530
177,gizel,43.04,44.5708,70.02,83,0,2.24,RU,1628223531
178,leku,6.8667,38.45,59.07,89,93,1.95,ET,1628223534
179,apiai,-24.5094,-48.8425,47.84,98,100,2.04,BR,1628223536
180,labuhan,-6.8844,112.2051,87.96,57,85,11.72,ID,1628223537
181,aripuana,-9.1667,-60.6333,72.0,48,44,2.19,BR,1628223539
182,mandurah,-32.55,115.7,70.21,53,0,15.99,AU,1628223540
183,lorengau,-2.0226,147.2712,83.32,79,18,11.16,PG,1628223542
184,isiro,2.7739,27.616,65.44,99,94,1.5,CD,1628223544
185,nemuro,43.3236,145.575,75.63,94,86,7.61,JP,1628223545
186,alihe,50.5667,123.7167,71.64,65,80,8.03,CN,1628223547
187,shinjo,38.7586,140.3008,95.05,48,96,8.21,JP,1628223548
188,korla,41.7597,86.1469,89.47,16,100,10.6,CN,1628223550
189,nacala,-14.5428,40.6728,67.1,89,2,4.59,MZ,1628223551
190,kholtoson,50.2981,103.3097,71.49,64,84,2.46,RU,1628223553
191,karratha,-20.7377,116.8463,77.68,25,21,25.3,AU,1628223555
192,kayerkan,69.3497,87.7602,71.37,58,57,3.74,RU,1628223556
193,corpus christi,27.8006,-97.3964,82.98,87,75,8.01,US,1628223323
194,pombas,17.1503,-25.0201,73.18,86,100,11.88,CV,1628223559
195,xining,36.6167,101.7667,57.47,89,100,4.09,CN,1628223561
196,suhbaatar,50.2314,106.2078,75.0,61,83,1.86,MN,1628223562
197,georgetown,5.4112,100.3354,91.33,62,20,3.44,MY,1628223440
198,nanortalik,60.1432,-45.2371,45.88,96,100,2.06,GL,1628223565
199,college,64.8569,-147.8028,82.38,45,75,6.91,US,1628223298
200,vao,-22.6667,167.4833,68.32,59,82,18.99,NC,1628223568
201,high prairie,55.4334,-116.4858,72.7,54,29,10.09,CA,1628223570
202,tochio,37.4667,139.0,99.55,50,67,1.01,JP,1628223571
203,birao,10.2849,22.7882,70.9,98,99,3.62,CF,1628223573
204,sorong,-0.8833,131.25,87.64,63,65,7.11,ID,1628223574
205,tessalit,20.1986,1.0114,83.93,48,97,11.99,ML,1628223576
206,abu kamal,34.4506,40.9171,90.79,28,26,11.92,SY,1628223579
207,cayenne,4.9333,-52.3333,77.09,88,75,4.0,GF,1628223580
